"X5000","X5000.1","X0.01","X0.125","X1","X1.1","X1.2","X1.3","X1e.04"
"390",1000,9000,0.1,4,1,1,1,1,1e-04
"391",1000,9000,0.1,5,1,1,1,1,1e-04
"392",1000,9000,0.2,0.125,1,1,1,1,1e-04
"393",1000,9000,0.2,0.25,1,1,1,1,1e-04
"394",1000,9000,0.2,0.375,0,0,0,0,1e-04
"395",1000,9000,0.2,0.5,1,1,1,1,1e-04
"396",1000,9000,0.2,0.625,1,1,1,0,1e-04
"397",1000,9000,0.2,0.75,0,0,0,0,1e-04
"398",1000,9000,0.2,0.875,0,0,0,1,1e-04
"399",1000,9000,0.2,1,0,0,0,0,1e-04
"400",1000,9000,0.2,1.125,0,0,0,0,1e-04
"401",1000,9000,0.2,1.25,0,0,0,1,1e-04
"402",1000,9000,0.2,1.375,0,0,0,0,1e-04
"403",1000,9000,0.2,1.5,1,1,1,0,1e-04
"404",1000,9000,0.2,1.75,0,0,0,0,1e-04
"405",1000,9000,0.2,2,1,1,1,0,1e-04
"406",1000,9000,0.2,3,0,0,0,0,1e-04
"407",1000,9000,0.2,4,0,0,0,0,1e-04
"408",1000,9000,0.2,5,1,1,1,1,1e-04
"409",1000,9000,0.5,0.125,1,1,1,1,1e-04
"410",1000,9000,0.5,0.25,1,1,1,0,1e-04
"411",1000,9000,0.5,0.375,1,1,1,1,1e-04
"412",1000,9000,0.5,0.5,0,0,0,0,1e-04
"413",1000,9000,0.5,0.625,0,0,0,0,1e-04
"414",1000,9000,0.5,0.75,0,0,0,0,1e-04
"415",1000,9000,0.5,0.875,0,0,0,0,1e-04
"416",1000,9000,0.5,1,0,0,0,0,1e-04
"417",1000,9000,0.5,1.125,0,0,0,0,1e-04
"418",1000,9000,0.5,1.25,0,0,0,1,1e-04
"419",1000,9000,0.5,1.375,1,1,1,0,1e-04
"420",1000,9000,0.5,1.5,0,0,0,0,1e-04
"421",1000,9000,0.5,1.75,0,0,0,0,1e-04
"422",1000,9000,0.5,2,1,1,1,1,1e-04
"423",1000,9000,0.5,3,1,1,1,1,1e-04
"424",1000,9000,0.5,4,1,1,1,1,1e-04
"425",1000,9000,0.5,5,1,1,1,1,1e-04
